ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
10431,ΚΕΝΤΡΟ,"Κλάση A",199,10951,0.00,377,01/2023
10431,ΚΕΝΤΡΟ,"Κλάση Β","1,537",5738,0.30,203,01/2023
10431,ΚΕΝΤΡΟ,"Κλάση Γ","1,345",1960,0.70,76,01/2023
10431,ΚΕΝΤΡΟ,"Κλάση Δ","2,103",1202,1.80,48,01/2023
10431,ΚΕΝΤΡΟ,"Κλάση Ε","2,572",179,14.40,6,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση A",288,19872,0.00,642,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση Β","1,506",6665,0.20,215,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση Γ","1,351",1922,0.70,62,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση Δ","2,739",1259,2.20,41,01/2023
10432,ΚΕΝΤΡΟ,"Κλάση Ε","2,371",217,10.90,7,01/2023
10432,ΜΟΥΣΕΙΟ,"Κλάση A",62,2728,0.00,88,01/2023
10432,ΜΟΥΣΕΙΟ,"Κλάση Β",249,1054,0.20,34,01/2023
10432,ΜΟΥΣΕΙΟ,"Κλάση Γ",49,62,0.80,2,01/2023
10432,ΜΟΥΣΕΙΟ,"Κλάση Δ",89,62,1.40,2,01/2023
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",158,10329,0.00,336,01/2023
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,261",5328,0.20,172,01/2023
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",734,1093,0.70,36,01/2023
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,211",610,2.00,20,01/2023
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση A",36,1271,0.00,41,01/2023
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Β",198,930,0.20,30,01/2023
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Γ",72,93,0.80,3,01/2023
10433,ΚΕΝΤΡΟ,"Κλάση A",27,1302,0.00,42,01/2023
10433,ΚΕΝΤΡΟ,"Κλάση Β",149,589,0.30,19,01/2023
10433,ΚΕΝΤΡΟ,"Κλάση Γ",53,93,0.60,3,01/2023
10433,ΜΟΥΣΕΙΟ,"Κλάση A",109,6076,0.00,197,01/2023
10433,ΜΟΥΣΕΙΟ,"Κλάση Β",729,3255,0.20,105,01/2023
10433,ΜΟΥΣΕΙΟ,"Κλάση Γ",241,372,0.70,12,01/2023
10433,ΜΟΥΣΕΙΟ,"Κλάση Δ",105,93,1.10,3,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",685,28803,0.00,932,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","5,201",22452,0.20,725,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,415",2201,0.60,71,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,053",620,1.70,20,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Ε",606,93,6.50,3,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",579,24617,0.00,799,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","4,686",19791,0.20,639,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ","1,755",2746,0.60,89,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ",833,558,1.50,18,01/2023
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Ε",348,34,10.20,2,01/2023
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A",354,15335,0.00,542,01/2023
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","3,189",13091,0.20,478,01/2023
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ","1,150",1770,0.70,80,01/2023
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",415,286,1.50,15,01/2023
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση A",386,17863,0.00,642,01/2023
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Β","3,641",15380,0.20,569,01/2023
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Γ","1,283",2037,0.60,90,01/2023
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Δ","1,065",592,1.80,28,01/2023
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Ε","3,645",155,23.50,6,01/2023
10434,ΜΟΥΣΕΙΟ,"Κλάση A",76,3367,0.00,120,01/2023
10434,ΜΟΥΣΕΙΟ,"Κλάση Β",588,2567,0.20,92,01/2023
10434,ΜΟΥΣΕΙΟ,"Κλάση Γ",70,114,0.60,5,01/2023
10434,ΟΤΕ,"Κλάση A",157,5050,0.00,176,01/2023
10434,ΟΤΕ,"Κλάση Β",731,3241,0.20,124,01/2023
10434,ΟΤΕ,"Κλάση Γ",534,773,0.70,30,01/2023
10434,ΟΤΕ,"Κλάση Δ",418,240,1.70,10,01/2023
10434,ΟΤΕ,"Κλάση Ε",885,62,14.30,2,01/2023
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση A",167,7249,0.00,254,01/2023
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση Β","1,214",5093,0.20,184,01/2023
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση Γ",419,627,0.70,24,01/2023
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση Δ",79,70,1.10,4,01/2023
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A","1,088",47090,0.00,1653,01/2023
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","9,648",40048,0.20,1458,01/2023
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ","2,827",4417,0.60,194,01/2023
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ","1,499",849,1.80,38,01/2023
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Ε",456,59,7.70,3,01/2023
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",21,802,0.00,29,01/2023
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β",246,957,0.30,37,01/2023
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ",133,198,0.70,12,01/2023
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",89,58,1.50,2,01/2023
10435,ΚΕΝΤΡΟ,"Κλάση A",65,2968,0.00,107,01/2023
10435,ΚΕΝΤΡΟ,"Κλάση Β",839,3373,0.30,121,01/2023
10435,ΚΕΝΤΡΟ,"Κλάση Γ",324,527,0.60,24,01/2023
10435,ΚΕΝΤΡΟ,"Κλάση Δ",120,62,1.90,2,01/2023
10435,ΚΕΝΤΡΟ,"Κλάση Ε",635,62,10.20,2,01/2023
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A","1,106",41798,0.00,1490,01/2023
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","10,970",45282,0.20,1640,01/2023
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","3,795",5806,0.70,249,01/2023
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","3,543",1912,1.90,78,01/2023
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε","2,370",159,14.90,6,01/2023
10436,ΚΕΝΤΡΟ,"Κλάση A",34,1411,0.00,51,01/2023
10436,ΚΕΝΤΡΟ,"Κλάση Β",242,992,0.20,37,01/2023
10436,ΚΕΝΤΡΟ,"Κλάση Γ",131,202,0.70,8,01/2023
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",834,33201,0.00,1196,01/2023
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","7,389",30117,0.30,1119,01/2023
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","2,710",4114,0.70,167,01/2023
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","1,957",1063,1.80,44,01/2023
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε","1,936",250,7.70,9,01/2023
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",49,1878,0.00,62,01/2023
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β",394,1682,0.20,57,01/2023
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ",127,191,0.70,7,01/2023
10437,ΚΕΝΤΡΟ,"Κλάση A",471,26415,0.00,929,01/2023
10437,ΚΕΝΤΡΟ,"Κλάση Β","3,644",14375,0.30,541,01/2023
10437,ΚΕΝΤΡΟ,"Κλάση Γ","2,057",3057,0.70,130,01/2023
10437,ΚΕΝΤΡΟ,"Κλάση Δ","2,558",1375,1.90,58,01/2023
10437,ΚΕΝΤΡΟ,"Κλάση Ε","3,355",307,10.90,12,01/2023
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",198,10935,0.00,379,01/2023
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","1,551",6435,0.20,238,01/2023
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","1,092",1639,0.70,66,01/2023
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","1,534",631,2.40,25,01/2023
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε","2,926",107,27.40,4,01/2023
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",161,6762,0.00,220,01/2023
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,398",5739,0.20,187,01/2023
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",564,872,0.70,30,01/2023
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,338",613,2.20,20,01/2023
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Ε",555,62,9.00,2,01/2023
10437,"ΠΛΑΤΕΙΑ ΚΑΡΑΙΣΚΑΚΗ","Κλάση A",0,62,0.00,2,01/2023
10437,"ΠΛΑΤΕΙΑ ΚΑΡΑΙΣΚΑΚΗ","Κλάση Β",11,93,0.10,3,01/2023
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",672,24267,0.00,783,01/2023
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β","5,519",23501,0.20,759,01/2023
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ","1,439",2216,0.70,72,01/2023
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ",678,388,1.80,13,01/2023
10438,ΒΑΘΗΣ,"Κλάση A",643,27834,0.00,900,01/2023
10438,ΒΑΘΗΣ,"Κλάση Β","5,950",24297,0.20,784,01/2023
10438,ΒΑΘΗΣ,"Κλάση Γ","1,885",3064,0.60,99,01/2023
10438,ΒΑΘΗΣ,"Κλάση Δ","1,537",805,1.90,26,01/2023
10438,ΒΑΘΗΣ,"Κλάση Ε",705,93,7.60,3,01/2023
10438,ΚΕΝΤΡΟ,"Κλάση A",11,527,0.00,17,01/2023
10438,ΚΕΝΤΡΟ,"Κλάση Β",83,403,0.20,13,01/2023
10438,ΚΕΝΤΡΟ,"Κλάση Δ",227,124,1.80,4,01/2023
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",187,7636,0.00,248,01/2023
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,643",6755,0.20,218,01/2023
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,183",1736,0.70,56,01/2023
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,570",706,2.20,23,01/2023
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A",286,11979,0.00,388,01/2023
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","2,610",11178,0.20,361,01/2023
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ",850,1364,0.60,44,01/2023
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",153,124,1.20,4,01/2023
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Ε","1,006",62,16.20,2,01/2023
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",398,14012,0.00,454,01/2023
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β","3,276",13237,0.30,427,01/2023
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ",840,1395,0.60,45,01/2023
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ",324,155,2.10,5,01/2023
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",141,5022,0.00,162,01/2023
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","1,099",4588,0.20,148,01/2023
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ",341,558,0.60,18,01/2023
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Δ",227,93,2.40,3,01/2023
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",234,10788,0.00,348,01/2023
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","2,272",8711,0.30,281,01/2023
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,120",1736,0.70,56,01/2023
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ",855,465,1.80,15,01/2023
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",39,1860,0.00,60,01/2023
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β",280,1085,0.30,35,01/2023
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ",149,200,0.80,7,01/2023
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",602,22451,0.00,726,01/2023
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β","5,117",21382,0.20,690,01/2023
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ","1,352",2171,0.60,71,01/2023
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",381,217,1.80,7,01/2023
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Ε",439,62,7.10,2,01/2023
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A","1,132",46651,0.00,1676,01/2023
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","11,779",49559,0.20,1791,01/2023
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ","2,912",4683,0.60,202,01/2023
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ","1,167",608,1.90,28,01/2023
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Ε",646,64,10.10,3,01/2023
10440,ΑΘΗΝΑ,"Κλάση A",24,1033,0.00,37,01/2023
10440,ΑΘΗΝΑ,"Κλάση Β",284,1266,0.20,45,01/2023
10440,ΑΘΗΝΑ,"Κλάση Γ",168,274,0.60,10,01/2023
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",795,34301,0.00,1237,01/2023
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","8,986",37227,0.20,1332,01/2023
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ","2,109",3341,0.60,155,01/2023
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Δ",804,519,1.60,24,01/2023
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",140,5384,0.00,197,01/2023
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","1,302",4834,0.30,186,01/2023
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ",596,918,0.70,37,01/2023
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",382,14910,0.00,531,01/2023
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β","3,378",14409,0.20,534,01/2023
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ","1,318",2001,0.70,85,01/2023
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ","1,049",573,1.80,24,01/2023
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση A","2,533",96104,0.00,3313,01/2023
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Β","32,244",127909,0.30,4421,01/2023
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Γ","9,757",15725,0.60,589,01/2023
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Δ","2,357",1274,1.90,60,01/2023
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Ε",425,64,6.60,3,01/2023
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση A",13,653,0.00,22,01/2023
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Β",179,804,0.20,26,01/2023
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Γ",88,155,0.60,5,01/2023
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση A","1,159",41207,0.00,1457,01/2023
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Β","16,028",61330,0.30,2138,01/2023
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Γ","5,389",8591,0.60,346,01/2023
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Δ","2,173",1163,1.90,49,01/2023
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Ε",489,62,7.90,3,01/2023
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A",478,16740,0.00,598,01/2023
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Β","6,578",24550,0.30,856,01/2023
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Γ","2,524",3990,0.60,154,01/2023
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Δ","2,897",1440,2.00,59,01/2023
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Ε","3,584",337,10.60,13,01/2023
10442,ΚΟΛΩΝΟΣ,"Κλάση A",8,186,0.00,43,01/2023
10442,ΚΟΛΩΝΟΣ,"Κλάση Β",152,527,0.30,19,01/2023
10442,ΚΟΛΩΝΟΣ,"Κλάση Γ",76,124,0.60,5,01/2023
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A","1,418",44289,0.00,1448,01/2023
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Β","22,274",84687,0.30,2738,01/2023
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Γ","6,300",10264,0.60,333,01/2023
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Δ","1,475",827,1.80,28,01/2023
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Ε","4,470",62,72.10,2,01/2023
10443,ΚΟΛΩΝΟΣ,"Κλάση A",392,13891,0.00,455,01/2023
10443,ΚΟΛΩΝΟΣ,"Κλάση Β","6,482",25455,0.30,823,01/2023
10443,ΚΟΛΩΝΟΣ,"Κλάση Γ","2,155",3441,0.60,111,01/2023
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση A",749,26475,0.00,854,01/2023
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Β","10,721",41230,0.30,1330,01/2023
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Γ","3,088",5115,0.60,165,01/2023
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Δ",368,248,1.50,8,01/2023
10443,ΣΕΠΟΛΙΑ,"Κλάση A","2,785",94505,0.00,3054,01/2023
10443,ΣΕΠΟΛΙΑ,"Κλάση Β","38,970",149759,0.30,4832,01/2023
10443,ΣΕΠΟΛΙΑ,"Κλάση Γ","10,782",17557,0.60,567,01/2023
10443,ΣΕΠΟΛΙΑ,"Κλάση Δ","2,611",1674,1.60,54,01/2023
10443,ΣΕΠΟΛΙΑ,"Κλάση Ε","2,508",104,24.10,5,01/2023
10444,ΚΟΛΩΝΟΣ,"Κλάση A","3,484",127127,0.00,4120,01/2023
10444,ΚΟΛΩΝΟΣ,"Κλάση Β","43,167",169221,0.30,5465,01/2023
10444,ΚΟΛΩΝΟΣ,"Κλάση Γ","12,862",20719,0.60,671,01/2023
10444,ΚΟΛΩΝΟΣ,"Κλάση Δ","2,042",1378,1.50,48,01/2023
10444,ΚΟΛΩΝΟΣ,"Κλάση Ε","2,357",176,13.40,6,01/2023
10444,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση A",643,24232,0.00,783,01/2023
10444,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Β","7,314",28623,0.30,924,01/2023
10444,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Γ","2,008",3255,0.60,105,01/2023
10444,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Δ",521,372,1.40,12,01/2023
10444,ΣΕΠΟΛΙΑ,"Κλάση A",58,1643,0.00,53,01/2023
10444,ΣΕΠΟΛΙΑ,"Κλάση Β",543,2139,0.30,69,01/2023
10444,ΣΕΠΟΛΙΑ,"Κλάση Γ",52,93,0.60,3,01/2023
10445,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση A",77,3267,0.00,106,01/2023
10445,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση Β",955,3999,0.20,129,01/2023
10445,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση Γ",210,341,0.60,11,01/2023
10445,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση Δ",162,62,2.60,2,01/2023
10445,"ΑΓ. ΝΙΚΟΛΑΟΣ","Κλάση A",132,5084,0.00,164,01/2023
10445,"ΑΓ. ΝΙΚΟΛΑΟΣ","Κλάση Β","1,708",6541,0.30,211,01/2023
10445,"ΑΓ. ΝΙΚΟΛΑΟΣ","Κλάση Γ",392,620,0.60,20,01/2023
10445,ΒΑΘΗΣ,"Κλάση Γ",26,38,0.70,2,01/2023
10445,ΒΑΘΗΣ,"Κλάση Δ",234,86,2.70,3,01/2023
10445,ΘΥΜΑΡΑΚΙΑ,"Κλάση A","2,304",88754,0.00,2864,01/2023
10445,ΘΥΜΑΡΑΚΙΑ,"Κλάση Β","26,805",106827,0.30,3447,01/2023
10445,ΘΥΜΑΡΑΚΙΑ,"Κλάση Γ","6,973",11402,0.60,368,01/2023
10445,ΘΥΜΑΡΑΚΙΑ,"Κλάση Δ","1,449",806,1.80,26,01/2023
10445,ΘΥΜΑΡΑΚΙΑ,"Κλάση Ε",943,124,7.60,4,01/2023
10445,"ΚΑΤΩ ΠΑΤΗΣΙΑ","Κλάση A","1,688",63520,0.00,2050,01/2023
10445,"ΚΑΤΩ ΠΑΤΗΣΙΑ","Κλάση Β","20,376",81254,0.30,2622,01/2023
10445,"ΚΑΤΩ ΠΑΤΗΣΙΑ","Κλάση Γ","4,803",7997,0.60,258,01/2023
10445,"ΚΑΤΩ ΠΑΤΗΣΙΑ","Κλάση Δ","1,263",648,2.00,21,01/2023
10445,"ΚΑΤΩ ΠΑΤΗΣΙΑ","Κλάση Ε","1,077",93,11.60,3,01/2023
10445,ΚΟΛΩΝΟΣ,"Κλάση A",162,6107,0.00,197,01/2023
10445,ΚΟΛΩΝΟΣ,"Κλάση Β","1,668",6882,0.20,222,01/2023
10445,ΚΟΛΩΝΟΣ,"Κλάση Γ",338,558,0.60,18,01/2023
10445,ΚΟΛΩΝΟΣ,"Κλάση Δ",155,124,1.30,4,01/2023
10445,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση A",61,2046,0.00,66,01/2023
10445,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Β",583,2511,0.20,81,01/2023
10445,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Γ",108,186,0.60,6,01/2023
10445,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",814,30753,0.00,993,01/2023
10445,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","7,877",33191,0.20,1071,01/2023
10445,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ","2,239",3441,0.70,111,01/2023
10445,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Δ","1,374",682,2.00,22,01/2023
10445,ΣΕΠΟΛΙΑ,"Κλάση A",101,3981,0.00,130,01/2023
10445,ΣΕΠΟΛΙΑ,"Κλάση Β","1,230",5022,0.20,162,01/2023
10445,ΣΕΠΟΛΙΑ,"Κλάση Γ",332,564,0.60,19,01/2023
10445,"ΤΡΕΙΣ ΓΕΦΥΡΕΣ","Κλάση A",524,17237,0.00,560,01/2023
10445,"ΤΡΕΙΣ ΓΕΦΥΡΕΣ","Κλάση Β","7,726",29946,0.30,966,01/2023
10445,"ΤΡΕΙΣ ΓΕΦΥΡΕΣ","Κλάση Γ","2,534",4131,0.60,134,01/2023
10445,"ΤΡΕΙΣ ΓΕΦΥΡΕΣ","Κλάση Δ",743,488,1.50,16,01/2023
10446,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση A","1,921",80272,0.00,2595,01/2023
10446,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση Β","20,357",82091,0.30,2650,01/2023
10446,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση Γ","5,092",8340,0.60,271,01/2023
10446,"ΑΓ. ΜΕΛΕΤΙΟΥ","Κλάση Δ","1,353",932,1.50,31,01/2023
10446,"ΑΓ. ΝΙΚΟΛΑΟΣ","Κλάση A",580,21679,0.00,701,01/2023
10446,"ΑΓ. ΝΙΚΟΛΑΟΣ","Κλάση Β","5,518",22721,0.20,733,01/2023
