var1,var2,spearman_rho,p_value,n
new_connections,production_total_std,0.6466313634464967,0.00015059262590004212,29
new_connections,interruptions_total,0.2956757445131654,0.11940505565194963,29
new_connections,emergency_interruptions,0.2518171757437126,0.18757695321089723,29
new_connections,planned_interruptions,0.24543679249477596,0.19938185502641326,29
new_connections,chlorine_mean,0.18529411764705883,0.492057050205944,16
new_connections,chlorine_std,-0.23823529411764705,0.37425412972798855,16
new_connections,turbidity_mean,-0.05308713312281475,0.8010226644135096,25
new_connections,turbidity_std,-0.2769763467277292,0.18012170973745975,25
new_connections,consumption_available,-0.24400506997318833,0.2020995702991384,29
reservoir_total_mean,reservoir_total_std,0.9732100521574205,6.208486513046366e-24,37
reservoir_total_mean,production_total_mean,-0.2024656235182551,0.22945063926166842,37
reservoir_total_mean,production_total_std,-0.6794689426268372,3.7590539279607158e-06,37
reservoir_total_mean,interruptions_total,-0.819442803624655,5.589757362417271e-10,37
reservoir_total_mean,emergency_interruptions,0.018414062887113745,0.913858462716669,37
reservoir_total_mean,planned_interruptions,-0.538876812382274,0.0005794316129457538,37
reservoir_total_mean,chlorine_mean,-0.13529411764705881,0.6173674089706421,16
reservoir_total_mean,chlorine_std,0.15882352941176472,0.5568612810855391,16
reservoir_total_mean,turbidity_mean,0.3156288156288157,0.10876836291260521,27
reservoir_total_mean,turbidity_std,0.4688644688644688,0.013626379130315096,27
reservoir_total_mean,consumption_available,0.7181848464596078,5.600673452844077e-07,37
reservoir_total_std,production_total_mean,-0.2757230915125652,0.09857772276476058,37
reservoir_total_std,production_total_std,-0.7060218112849691,1.0521959859599048e-06,37
reservoir_total_std,interruptions_total,-0.7779490273994483,1.4621790333513541e-08,37
reservoir_total_std,emergency_interruptions,0.04538175498630614,0.7896930837117467,37
reservoir_total_std,planned_interruptions,-0.47387472275306725,0.003049369146124658,37
reservoir_total_std,chlorine_mean,0.06764705882352941,0.8034203137966693,16
reservoir_total_std,chlorine_std,0.19117647058823528,0.47816401281702847,16
reservoir_total_std,turbidity_mean,0.37484737484737485,0.05404088338431772,27
reservoir_total_std,turbidity_std,0.5018315018315018,0.007651832433986736,27
reservoir_total_std,consumption_available,0.7181848464596078,5.600673452844077e-07,37
production_total_mean,production_total_std,0.6548127074442863,1.0971401279160891e-05,37
production_total_mean,interruptions_total,0.056312982019923484,0.7406108259705666,37
production_total_mean,emergency_interruptions,0.13626406536464172,0.42129614607219945,37
production_total_mean,planned_interruptions,-0.1615562884579919,0.33943880663262443,37
production_total_mean,chlorine_mean,-0.06176470588235294,0.8202418775044894,16
production_total_mean,chlorine_std,-0.13529411764705881,0.6173674089706421,16
production_total_mean,turbidity_mean,-0.1288156288156288,0.5219453428390793,27
production_total_mean,turbidity_std,-0.03479853479853479,0.86319049172857,27
production_total_mean,consumption_available,-0.16529651228038592,0.3282243209327624,37
production_total_std,interruptions_total,0.4654416156004623,0.003697294462794635,37
production_total_std,emergency_interruptions,-0.08458588887499992,0.6186602480717329,37
production_total_std,planned_interruptions,0.36000244895007744,0.028624468788314872,37
production_total_std,chlorine_mean,0.29411764705882354,0.26884655462289303,16
production_total_std,chlorine_std,-0.28823529411764703,0.2789844597370832,16
production_total_std,turbidity_mean,-0.1349206349206349,0.5022378185587083,27
production_total_std,turbidity_std,-0.27838827838827834,0.1597018897167282,27
production_total_std,consumption_available,-0.5984873720496732,9.127595113038724e-05,37
interruptions_total,emergency_interruptions,0.18582586357909056,0.27082531107757385,37
interruptions_total,planned_interruptions,0.4733970660911858,0.003083226357326722,37
interruptions_total,chlorine_mean,-0.17954383080010436,0.505821320079216,16
interruptions_total,chlorine_std,-0.1898455260099464,0.4812906773303121,16
interruptions_total,turbidity_mean,-0.19111586240066708,0.33961917932128954,27
interruptions_total,turbidity_std,-0.16516562549322827,0.41034166867715915,27
interruptions_total,consumption_available,-0.5814566625696235,0.00016055027017494015,37
emergency_interruptions,planned_interruptions,-0.4682601882736176,0.0034685662583000135,37
emergency_interruptions,chlorine_mean,-0.19573220898699903,0.4675367874049636,16
emergency_interruptions,chlorine_std,-0.22369395312799886,0.4049436432683513,16
emergency_interruptions,turbidity_mean,-0.30529690479339794,0.12149188230800766,27
emergency_interruptions,turbidity_std,-0.16943978216033584,0.39816220820108217,27
emergency_interruptions,consumption_available,0.3827321894782087,0.019388797493296927,37
planned_interruptions,chlorine_mean,0.3434569179830104,0.1927666554871555,16
planned_interruptions,chlorine_std,-0.13619843299326276,0.6149954311915564,16
planned_interruptions,turbidity_mean,0.3604154612609324,0.06477888257819196,27
planned_interruptions,turbidity_std,0.0024434946526164904,0.9903490574583609,27
planned_interruptions,consumption_available,-0.7243571377407235,4.016210527557278e-07,37
chlorine_mean,chlorine_std,0.2411764705882353,0.3682066080426343,16
chlorine_mean,turbidity_mean,0.14685314685314685,0.6487957097846665,12
chlorine_mean,turbidity_std,-0.5804195804195805,0.04785597684206058,12
chlorine_mean,consumption_available,,,16
chlorine_std,turbidity_mean,-0.1398601398601399,0.6646331617926677,12
chlorine_std,turbidity_std,-0.14685314685314685,0.6487957097846665,12
chlorine_std,consumption_available,,,16
turbidity_mean,turbidity_std,0.669108669108669,0.00013557264872196686,27
turbidity_mean,consumption_available,-0.09369772790226465,0.6420355097044284,27
turbidity_std,consumption_available,0.2543224043061469,0.20049640930640575,27
