ΤΚ,Περιοχή,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,cluster_post_kmeans,cluster_post_hierarchical,cluster_post_dtw,cluster_post_feature
10431,ΚΕΝΤΡΟ,-0.5559913611013906,-1.5995464455599642,-1.061434997660891,1.4294856169815304,1.9267623007061376,-0.014250156386809293,1.1422811089544533,1.2779432699340678,1.110974456420696,-0.62314186218829,-0.10454035717257283,0.5116108622599241,-1.6771324974914494,-0.7029965121294679,-0.29691746839450117,1.2493589350119418,0.485748844949429,0.31832631183411875,-0.4030878552481126,-1.5083488055703236,-1.7020870755980675,-0.14129164492959218,0.04427967226325853,0.641374668414338,0.02340857057408706,-0.29056539396736203,0.5197778150948172,0,1,1,1
10432,ΚΕΝΤΡΟ,-0.38885913774326014,-1.126724463694415,-0.3963355595962337,-0.26118485686940485,1.3134646072414773,-1.1324755574274714,-0.4003613252093733,1.0121072956293145,0.945969717699164,1.3031126385219756,-0.41703949703523724,0.09595806395340663,-2.4109436942859417,-0.43199234074118426,-0.3089189348537742,2.078360073737998,-0.03459176378697695,-0.2657857318558501,1.269181185496942,-0.2111503413918129,-1.0962436669092153,-0.19677260705917154,0.551444687611485,1.2870095760694173,-0.7057444024346758,-0.9139339955713228,0.8424500305041462,1,1,1,1
10432,ΜΟΥΣΕΙΟ,0.3743699152286594,-0.1995029354702406,0.6091360814236639,0.6873914701553321,0.896072506773114,-1.5689722382744338,0.8178171180414457,0.8178171180414457,0.8439022476186685,1.469945357472014,1.1047535433908957,0.5700083870578299,-0.016907028429681507,-0.3820988425107997,-0.14733267631579514,-0.8516311749008088,-0.682077832648861,-0.9950993875755338,-1.1776952946160928,-1.1776952946160928,-3.121037448119186,0.5700083870578299,0.4526253039603276,0.5178381279033845,0.4004550448058821,-0.14733267631579514,0.3352422208628253,0,1,0,0
10432,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,-0.04822596211984208,-0.9966270733687748,-0.36724937065696023,-0.09503917967691919,1.179320631599069,-0.40886111959658433,0.5447414602698014,0.5412738145248327,0.30200625812199416,0.5932885006993629,-0.8319139004827627,-0.6966757164289844,-3.904248030525009,0.4285753278133508,0.10955191927623266,0.9521898353036208,-0.11237740840176257,0.10955191927623266,1.6318484013174812,0.9799310012633702,-0.25455088394547826,0.35402094429652425,0.09394751342387361,0.5256694086724737,-0.35511261054956983,-0.6169198642947048,0.3418841841891339,1,1,0,0
10433,ΚΕΝΤΡΟ,0.39534573499335496,-0.056374046848178726,0.2971457824191085,-0.7830536958976024,-0.6652137528085067,-1.0776535536203418,1.0631054124982309,1.1023853935279293,0.8667055073497378,0.39534573499335496,0.2578658013894099,-0.17421398993727447,-0.24295395673924697,-0.3116939235412195,-4.102212092907132,0.2775057919042592,0.4346257160230535,0.37570574447850563,0.6113856306566972,0.6113856306566972,-0.3116939235412195,0.5131856780824506,0.37570574447850563,1.0434654219833814,-0.25277395199667163,-0.6259337717788082,-0.017094065818480143,1,1,0,0
10433,ΜΟΥΣΕΙΟ,-0.4644366919613967,-0.8868128636784339,-0.35685030859950984,-0.41662052157833585,-0.2612179678333882,-2.293405209113473,1.1413896967363957,1.1413896967363957,1.2489760800982825,1.3565624634601694,1.1453743776016507,1.440240761630526,0.3006220341675764,-0.05401456284012466,0.5795496947354312,0.5954884181964515,0.7947224614592049,-0.03409115851384932,-0.5162375432097126,-0.5202222240749677,-2.6759345721779595,0.22092841686247502,0.0017709692734462943,-0.1376928610104811,-0.3249728616774693,-0.7991498846428224,-0.22535584004609258,1,1,0,1
10433,ΠΛΑΤΕΙΑ ΒΑΘΗΣ,-0.34305219543194904,-1.6998280982540175,-0.2668288301048665,-0.6136451423430919,-0.007669387992786011,-2.2460955497647754,0.8244356834945312,0.6389588278652972,0.5347868952516178,1.605725178097127,0.9362299526409189,1.0226164333449457,0.3556619867329739,-0.44722412804562844,0.15875162630467746,0.36582510210991825,0.7736201066098096,0.31755030406943263,0.815542957539705,0.0596612513794702,-2.2753145064734905,0.18924097243551044,1.0124533179680015,0.755834654700157,-0.5653703443026064,-1.596926555062456,-0.3049405127684078,1,1,0,0
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,0.27651391090641014,-0.340324813423274,-0.10635150419477313,-1.4251101562099597,-1.2549477494983228,-2.7013282065472373,-0.7019199276855026,-0.7019199276855026,-0.29778421174536474,1.361299253693096,1.0847853427866858,0.8082714318802757,0.06381090251686387,-0.3615951142622286,0.0850812033558185,0.04254060167790925,0.2552436100674555,0.23397330922850088,0.6381090251686388,0.5955684234907295,-1.8079755713111432,1.4463804570489145,1.2124071478204137,1.2124071478204137,0.12762180503372775,-0.48921691929595634,0.7444605293634119,1,1,0,1
10433,ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ,-0.26399789714156785,-1.387553127588032,-0.4488006242483021,-0.7209027991293832,-0.43746303362825706,-2.5916052514368157,-0.3263546455518156,-0.3297559227378291,-0.3966477073960949,0.8425509473748287,-0.12794680970102726,0.28134021168259893,-0.08486396534485609,-0.783259547539631,0.46047414347931065,0.7133024143063152,0.9071752139090855,0.26320006669052687,0.7529839814764728,0.7484489452284548,-2.1505729763170636,1.528475179887554,1.1361945444339954,1.4899273717794008,0.30401539292268903,-0.423857924884203,1.0454938194736352,1,1,0,1
10434,ΜΟΥΣΕΙΟ,-0.007156144129695424,-0.13981183083240942,0.0005340406066937928,0.05244278757732101,0.11396426546843474,0.06590061086600214,-1.4183050432571167,0.16587301243906197,0.11588681165253205,-1.229895517215581,2.782458368995493,2.920881694250499,-0.7838648025050063,-0.032149244522960384,0.06397806468190484,0.0024565867907910973,0.0485976952091264,-0.9761194209147368,-1.3337130111568354,-1.4144599508889222,-0.5137470636393351,0.38696582361025195,0.3504374461124032,0.4100363778194196,0.185098474280035,0.015914410079472228,0.16779555862315926,0,1,1,1
